X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-81.4107,29.0151,0,0,276,3,,,,,,,,,,,,,,,,,,,,,,
-81.41076,29.01501,0,0,277,3,,,,,,,,,,,,,,,,,,,,,,
-81.41082,29.01497,0,0,278,3.05,,,,,,,,,,,,,,,,,,,,,,
-81.41086,29.0149,0,0,279,3.08,,,,,,,,,,,,,,,,,,,,,,
-81.41091,29.01484,0,0,280,3.73,,,,,,,,,,,,,,,,,,,,,,
-81.41098,29.01483,0,0,281,3.84,,,,,,,,,,,,,,,,,,,,,,
-81.41104,29.01482,0,0,282,3.94,,,,,,,,,,,,,,,,,,,,,,
-81.41115,29.01483,0,0,283,3.84,,,,,,,,,,,,,,,,,,,,,,
-81.41121,29.01485,0,0,284,3.65,,,,,,,,,,,,,,,,,,,,,,
-81.41125,29.01489,0,0,285,3.59,,,,,,,,,,,,,,,,,,,,,,
-81.41131,29.01495,0,0,286,3.54,,,,,,,,,,,,,,,,,,,,,,
-81.41135,29.01503,0,0,287,3.19,,,,,,,,,,,,,,,,,,,,,,
-81.41138,29.01511,0,0,288,3.9,,,,,,,,,,,,,,,,,,,,,,
-81.41141,29.01518,0,0,289,4,,,,,,,,,,,,,,,,,,,,,,
-81.41145,29.01523,0,0,290,3.52,,,,,,,,,,,,,,,,,,,,,,
-81.41151,29.01526,0,0,291,3.44,,,,,,,,,,,,,,,,,,,,,,
-81.4116,29.0153,0,0,292,4,,,,,,,,,,,,,,,,,,,,,,
-81.41162,29.01531,0,0,293,4,,,,,,,,,,,,,,,,,,,,,,
-81.41188,29.01535,0,0,294,4,,,,,,,,,,,,,,,,,,,,,,
-81.41203,29.01542,0,0,295,4.96,,,,,,,,,,,,,,,,,,,,,,
-81.41219,29.01546,0,0,296,5,,,,,,,,,,,,,,,,,,,,,,
-81.41229,29.01551,0,0,297,5,,,,,,,,,,,,,,,,,,,,,,
-81.41232,29.01555,0,0,298,5.06,,,,,,,,,,,,,,,,,,,,,,
-81.41234,29.01562,0,0,299,5.27,,,,,,,,,,,,,,,,,,,,,,
-81.41237,29.01573,0,0,300,5.6,,,,,,,,,,,,,,,,,,,,,,
-81.41236,29.01583,0,0,301,5.49,,,,,,,,,,,,,,,,,,,,,,
-81.41231,29.01596,0,0,302,5,,,,,,,,,,,,,,,,,,,,,,
-81.41223,29.01606,0,0,303,5.04,,,,,,,,,,,,,,,,,,,,,,
-81.4121,29.01625,0,0,304,5,,,,,,,,,,,,,,,,,,,,,,
-81.41207,29.01632,0,0,305,5,,,,,,,,,,,,,,,,,,,,,,
-81.41205,29.01642,0,0,306,5,,,,,,,,,,,,,,,,,,,,,,
-81.41204,29.01647,0,0,307,5,,,,,,,,,,,,,,,,,,,,,,
-81.41203,29.01656,0,0,308,5,,,,,,,,,,,,,,,,,,,,,,
-81.41201,29.01662,0,0,309,5,,,,,,,,,,,,,,,,,,,,,,
-81.41202,29.01668,0,0,310,5,,,,,,,,,,,,,,,,,,,,,,
